Temperature_C,TDS_ppm,Flex Voltage,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
22.06,489.7,3.3,0.13,0.56,-0.18,-0.1,-0.02,0.0
22.06,489.7,3.3,0.13,0.56,-0.18,-0.1,-0.02,0.0
22.06,491.81,3.3,-0.07,0.69,-0.18,-0.12,-0.02,0.01
22.06,491.81,3.3,-0.07,0.69,-0.18,-0.12,-0.02,0.01
22.06,492.52,3.3,0.15,0.39,-0.09,-0.09,-0.02,0.0
22.06,492.52,3.3,0.15,0.39,-0.09,-0.09,-0.02,0.0
22.06,492.52,3.3,0.15,0.39,-0.09,-0.09,-0.02,0.0
22.06,490.76,3.3,-0.04,0.68,-0.09,-0.11,-0.02,0.01
22.06,490.76,3.3,-0.04,0.68,-0.09,-0.11,-0.02,0.01
22.06,492.52,3.3,0.23,0.68,0.03,-0.09,-0.02,0.01
22.06,492.52,3.3,0.23,0.68,0.03,-0.09,-0.02,0.01
22.06,492.52,3.3,0.23,0.68,0.03,-0.09,-0.02,0.01
22.06,493.22,3.3,0.12,0.5,-0.13,-0.1,-0.02,0.02
22.06,493.22,3.3,0.12,0.5,-0.13,-0.1,-0.02,0.02
22.06,489.7,3.3,0.15,0.72,-0.09,-0.11,-0.03,0.01
22.06,490.76,3.3,0.16,0.52,-0.07,-0.1,-0.03,0.01
22.06,490.76,3.3,0.16,0.52,-0.07,-0.1,-0.03,0.01
22.06,490.41,3.3,0.14,0.68,-0.12,-0.11,-0.02,0.01
22.06,490.41,3.3,0.14,0.68,-0.12,-0.11,-0.02,0.01
22.06,490.41,3.3,0.14,0.68,-0.12,-0.11,-0.02,0.01
22.06,491.81,3.3,0.04,0.51,-0.2,-0.09,-0.02,0.01
22.06,491.81,3.3,0.04,0.51,-0.2,-0.09,-0.02,0.01
22.0,492.52,3.3,0.11,0.62,-0.12,-0.11,-0.03,0.01
22.0,492.52,3.3,0.11,0.62,-0.12,-0.11,-0.03,0.01
22.0,492.52,3.3,0.11,0.62,-0.12,-0.11,-0.03,0.01
22.12,493.22,3.3,0.29,-0.01,-0.2,-0.09,-0.02,0.01
22.12,493.22,3.3,0.29,-0.01,-0.2,-0.09,-0.02,0.01
22.06,489.35,3.3,0.01,1.62,-0.05,-0.09,-0.02,0.01
22.06,489.35,3.3,0.01,1.62,-0.05,-0.09,-0.02,0.01
22.06,489.35,3.3,0.01,1.62,-0.05,-0.09,-0.02,0.01
22.06,490.41,3.3,-0.1,3.37,-0.08,-0.09,-0.02,0.01
22.06,490.41,3.3,-0.1,3.37,-0.08,-0.09,-0.02,0.01
22.06,493.93,0.83,0.33,-0.84,0.79,-0.11,-0.02,0.02
22.06,493.93,0.83,0.33,-0.84,0.79,-0.11,-0.02,0.02
22.06,493.93,0.83,0.33,-0.84,0.79,-0.11,-0.02,0.02
22.12,493.57,0.83,0.06,0.5,0.21,-0.12,-0.02,0.0
22.12,493.57,0.83,0.06,0.5,0.21,-0.12,-0.02,0.0
22.06,491.11,0.84,0.1,1.14,-0.17,-0.1,-0.02,0.01
22.06,491.11,0.84,0.1,1.14,-0.17,-0.1,-0.02,0.01
22.06,491.11,0.84,0.1,1.14,-0.17,-0.1,-0.02,0.01
22.0,491.11,1.81,0.34,0.78,-0.15,-0.12,-0.02,0.01
22.0,491.11,1.81,0.34,0.78,-0.15,-0.12,-0.02,0.01
22.06,490.05,1.65,0.32,0.28,-0.07,-0.11,-0.02,0.02
22.06,490.05,1.65,0.32,0.28,-0.07,-0.11,-0.02,0.02
22.06,490.05,1.65,0.32,0.28,-0.07,-0.11,-0.02,0.02
22.06,492.16,1.69,0.29,0.61,-0.18,-0.11,-0.02,0.01
22.06,492.16,1.69,0.29,0.61,-0.18,-0.11,-0.02,0.01
22.06,491.46,3.0,0.18,0.87,-0.1,-0.11,-0.03,0.01
22.06,491.46,3.0,0.18,0.87,-0.1,-0.11,-0.03,0.01
22.06,491.46,3.0,0.18,0.87,-0.1,-0.11,-0.03,0.01
22.06,492.16,0.84,-0.05,0.56,0.03,-0.1,-0.02,0.0
22.06,492.16,0.84,-0.05,0.56,0.03,-0.1,-0.02,0.0
22.12,491.81,1.72,0.06,0.51,-0.12,-0.11,-0.03,0.01
22.12,491.81,1.72,0.06,0.51,-0.12,-0.11,-0.03,0.01
22.12,491.81,1.72,0.06,0.51,-0.12,-0.11,-0.03,0.01
22.06,493.22,2.29,0.19,0.11,-0.12,-0.1,-0.02,-0.0
22.06,493.22,2.29,0.19,0.11,-0.12,-0.1,-0.02,-0.0
22.06,490.76,3.3,0.08,0.72,-0.12,-0.12,-0.02,0.01
22.06,490.76,3.3,0.08,0.72,-0.12,-0.12,-0.02,0.01
22.06,490.76,3.3,0.08,0.72,-0.12,-0.12,-0.02,0.01
22.06,492.52,0.82,0.02,0.81,-0.11,-0.1,-0.02,0.01
